Topic,Difficulty,Mean,Median,Variance,Minimum,Maximum,Low,Typical,High,LeftRangeWidth,RightRangeWidth
Memoization,2,46.39,48.5,124.13,31.0,74.0,75,80,90,1.7483,5.0898
Backtracking,0,69.4,65.0,184.64,55.4,87.8,20,25,40,0.6396,4.5509
Backtracking,1,59.03,59.35,198.55,24.6,88.2,50,55,75,1.7366,5.7585
Backtracking,2,53.01,52.2,244.93,9.9,82.0,75,90,100,4.2258,1.9853
Design,0,70.52,67.2,147.09,40.0,87.0,15,25,35,2.7173,1.978
Design,1,56.05,56.4,180.27,26.6,88.2,40,55,60,5.9481,2.1186
Design,2,46.81,45.1,177.19,17.7,71.8,70,80,90,2.7373,2.6673
Brainteaser,0,63.4,63.4,36.0,57.4,69.4,15,30,45,0.3997,0.3997
Brainteaser,1,56.6,57.9,239.56,28.0,88.0,45,55,60,5.9681,3.007
Brainteaser,2,61.6,61.6,0.0,61.6,61.6,70,80,90,0.0,0.0
Simulation,0,68.52,70.0,165.45,34.8,90.2,10,20,30,3.5165,2.018
Simulation,1,61.58,60.3,228.91,26.6,89.8,45,50,60,3.3666,5.8882
Simulation,2,42.78,45.7,151.82,10.4,56.1,70,75,90,2.3518,2.0758
Concurrency,0,71.45,71.45,1.56,70.2,72.7,10,30,35,0.2495,0.0625
Concurrency,1,64.38,64.65,51.87,54.4,73.0,40,50,70,0.5122,0.8342
Concurrency,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Game Theory,0,59.57,57.4,53.39,51.9,69.4,15,30,40,0.5495,0.7995
Game Theory,1,56.93,58.05,245.84,28.9,84.5,45,55,60,5.8184,2.6424
Game Theory,2,47.14,41.2,135.82,32.7,63.6,75,85,100,0.5663,2.2378
Shell,0,30.1,30.1,12.96,26.5,33.7,10,20,30,0.3596,0.3596
Shell,1,26.5,26.5,0.16,26.1,26.9,30,35,45,0.04,0.0798
Shell,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Interactive,0,56.65,49.75,292.78,41.9,85.2,10,25,35,0.7842,2.3618
Interactive,1,70.61,69.9,163.02,47.7,90.7,35,45,60,1.479,2.0779
Interactive,2,53.36,42.6,260.44,38.4,76.9,70,80,90,0.4196,3.4266
